News_Org,Created_Dt,Text,Compound,Positive,Neutral,Negative,Tweet_Count
BBCWorld,2018-09-30 00:56:22+00:00,Racism and stereotypes in colonial India’s 'Instagram’ https://t.co/9nlhxMc5Vy,-0.6249,0.0,0.631,0.369,1
BBCWorld,2018-09-30 00:52:49+00:00,Why Hollywood writer Ubah Mohamed hated her name https://t.co/zhvHnaQZ1o,-0.6369,0.0,0.656,0.344,2
BBCWorld,2018-09-30 00:49:07+00:00,Brazil indigenous group bets on 'golden fruit' https://t.co/1EpTnBeIla,0.0,0.0,1.0,0.0,3
BBCWorld,2018-09-30 00:12:47+00:00,Brett Kavanaugh: FBI contacts second woman https://t.co/fI0zi8dx8Q,0.0,0.0,1.0,0.0,4
BBCWorld,2018-09-29 23:21:42+00:00,India airports: Has PM Modi built more than others? https://t.co/2ytKfJi1E4,0.0,0.0,1.0,0.0,5
BBCWorld,2018-09-29 22:54:42+00:00,"North Korea 'won't disarm if sanctions continue', minister says https://t.co/G30RXWIqug",0.0,0.0,1.0,0.0,6
BBCWorld,2018-09-29 22:39:25+00:00,Russian spy poisoning: Woman 'identifies' suspect as Anatoliy Chepiga https://t.co/x0x1s3pqFN,-0.7184,0.0,0.571,0.429,7
BBCWorld,2018-09-29 18:38:49+00:00,Danish police free manhunt suspects in death threat case https://t.co/MdvQVtWIUX,-0.7506,0.174,0.316,0.511,8
BBCWorld,2018-09-29 18:15:24+00:00,Turkey's Erdogan opens mosque in German city of Cologne https://t.co/PwqV4taNQZ,0.0,0.0,1.0,0.0,9
BBCWorld,2018-09-29 16:25:59+00:00,What will the FBI investigation into Kavanaugh actually do? https://t.co/cgOdPVUEQw,0.0,0.0,1.0,0.0,10
BBCWorld,2018-09-29 15:42:15+00:00,Indonesia tsunami: Aftershocks rock Palu day after disaster https://t.co/NX1sOtrqel,-0.6249,0.0,0.661,0.339,11
BBCWorld,2018-09-29 15:17:04+00:00,"RT @BBCNews: More than half of the world's killer whales could be wiped out by man-made chemicals, scientists say 

https://t.co/qO6tcjJUY6…",-0.6486,0.0,0.815,0.185,12
BBCWorld,2018-09-29 14:13:33+00:00,Egypt sentences activist for 'spreading fake news' https://t.co/7mVqaXNJVR,-0.4404,0.117,0.583,0.301,13
BBCWorld,2018-09-29 11:55:30+00:00,HIV/Aids: China reports 14% surge in new cases https://t.co/quSiJJTfY6,0.0,0.0,1.0,0.0,14
BBCWorld,2018-09-29 11:40:46+00:00,"RT @bbcworldservice: The 94-year-old who writes a sex advice column in Mumbai. #MyIndianLife 
📻 https://t.co/ZQ7MwxfCmh",0.0,0.0,1.0,0.0,15
BBCWorld,2018-09-29 10:52:14+00:00,"RT @bbcweather: A rare ""medicane"" (a hurricane-like storm in the Mediterranean) can be seen on these satellite images. This storm will brin…",0.0,0.0,1.0,0.0,16
BBCWorld,2018-09-29 10:43:06+00:00,RT @PhilippaBBC: A reminder for @BBCWorld followers about why so much is at stake with the Brett Kavanaugh confirmation - whatever your pol…,0.0,0.0,1.0,0.0,17
BBCWorld,2018-09-29 09:20:11+00:00,In pictures: Tsunami devastation in Sulawesi https://t.co/Kqe9Z3uJ72,-0.4215,0.0,0.682,0.318,18
BBCWorld,2018-09-29 09:14:52+00:00,"The woman who challenged US senator Flake in a lift: ""He had to confront the pain and rage that women feel""
(Tap to… https://t.co/1hlUOcDdxY",-0.8402,0.0,0.655,0.345,19
BBCWorld,2018-09-29 08:47:49+00:00,Why India is furious about a set of stamps https://t.co/FWpc19RBL9,-0.5719,0.0,0.684,0.316,20
BBCWorld,2018-09-29 07:33:59+00:00,RT @BBCBreaking: At least 384 people now known to have died after an earthquake and tsunami hit a coastal Indonesian city https://t.co/IprV…,-0.5574,0.0,0.847,0.153,21
BBCWorld,2018-09-29 07:08:24+00:00,Gamers meet in real life at bedside of terminally-ill friend https://t.co/g4rF79BDes,0.4939,0.242,0.758,0.0,22
BBCWorld,2018-09-29 01:11:32+00:00,F-35 fighter jet: Programme suffers first crash https://t.co/HHN1joyOfJ,-0.6369,0.129,0.403,0.468,23
BBCWorld,2018-09-29 00:15:41+00:00,Bula! Fiji fights US bar's trademark on a national greeting https://t.co/MhhIOtYxpF,-0.1007,0.191,0.589,0.22,24
BBCWorld,2018-09-29 00:01:54+00:00,Do New York police unfairly stop young black men? https://t.co/ewt2bRrHKO,-0.296,0.0,0.804,0.196,25
BBCWorld,2018-09-28 23:58:06+00:00,Why is France's Macron talking tough on Brexit? https://t.co/0wDBq3DJlo,-0.128,0.0,0.842,0.158,26
BBCWorld,2018-09-28 23:39:21+00:00,Basra protests: US closes consulate after weeks of deadly protests https://t.co/sIY1rWcj4Z,-0.4215,0.0,0.703,0.297,27
BBCWorld,2018-09-28 22:02:57+00:00,Kavanaugh hearings: Who were the women confronting Jeff Flake? https://t.co/tSHFiwZhcL,-0.1531,0.0,0.849,0.151,28
BBCWorld,2018-09-28 22:02:26+00:00,The elevator confrontation that happened before Republican senator Jeff Flake's call for an FBI investigation into… https://t.co/UH9fyTgsuk,-0.3182,0.0,0.874,0.126,29
